product_id,sku_id,name,department_name,category_name,sub_category_name,brand_id,brand_name,link,image_url,stock,list_price,price,product_reference,sku_reference,specification_number,size,color,gender
2816440,2816441,Jean Mujer Campi XYZ NEGRO 26,Moda,Mujer Venta Final,Jeans Mujer,3965,XYZ,https://www.oechsle.pe/jean-mujer-campi-XYZ-2816440/p,https://oechsle.vteximg.com.br/arquivos/ids/20783227/2816441.jpg?v=638781400770430000,1,129.00,79.95,2816440,2816441,12,26,Negro,Mujer
2816419,2816420,Jean Mujer Navy XYZ AZUL 26,Moda,Mujer Venta Final,Jeans Mujer,3965,XYZ,https://www.oechsle.pe/jean-mujer-navy-XYZ-2816419/p,https://oechsle.vteximg.com.br/arquivos/ids/20498094/2816420.jpg?v=638750986879000000,1,129.00,79.95,2816419,2816420,12,26,Azul,Mujer
2816434,2816435,Jean Mujer Recto XYZ  AZUL 26,Moda,Mujer Venta Final,Jeans Mujer,3965,XYZ,https://www.oechsle.pe/jean-mujer-recto-XYZ-2816434/p,https://oechsle.vteximg.com.br/arquivos/ids/20783595/2816435.jpg?v=638781165202630000,0,129.00,79.95,2816434,2816435,11,26,Azul Claro,Mujer
2901080,2901081,Jean Mujer XYZ Laser 1 Azul Talla 26,Moda,Mujer,Jeans Mujer,3965,XYZ,https://www.oechsle.pe/jean-mujer-XYZ-laser-1-2901080/p,https://oechsle.vteximg.com.br/arquivos/ids/21495853/2901081.jpg?v=638869806378900000,1,129.00,129.00,2901080,2901081,11,26,Azul,Mujer
2828126,2828127,Jean Mujer XYZ Basic Denim 1 Azul Talla 26,Moda,Mujer,Jeans Mujer,3965,XYZ,https://www.oechsle.pe/jean-mujer-XYZ-basic-denim-1-2828126/p,https://oechsle.vteximg.com.br/arquivos/ids/21777155/2828127.jpg?v=638895901133200000,1,79.95,79.95,2828126,2828127,10,26,Azul,Mujer
2828126,2828135,Jean Mujer XYZ Basic Denim 1 Melange Talla 26,Moda,Mujer,Jeans Mujer,3965,XYZ,https://www.oechsle.pe/jean-mujer-XYZ-basic-denim-1-2828126/p,https://oechsle.vteximg.com.br/arquivos/ids/21777143/2828135.jpg?v=638895901093430000,3,79.95,79.95,2828126,2828135,10,26,Melange,Mujer
2892063,2892064,Jean Mujer XYZ Lali Azul Talla 26,Moda,Mujer,Jeans Mujer,3965,XYZ,https://www.oechsle.pe/jean-mujer-XYZ-lali-2892063/p,https://oechsle.vteximg.com.br/arquivos/ids/21455395/2892064.jpg?v=638865491050300000,1,119.00,119.00,2892063,2892064,10,26,Azul,Mujer
2856912,2856914,Jean Mujer Levi's 314 Shaping Straight AZUL OSCURO 27,Moda,Mujer,Jeans Mujer,3611,LEVIS,https://www.oechsle.pe/jean-mujer-shaping-straight-azul-oscuro-levis-2856912/p,https://oechsle.vteximg.com.br/arquivos/ids/20900510/2856914.jpg?v=638793426368800000,2,199.00,199.00,2856912,2856914,11,27,Azul Oscuro,Mujer
2856845,2856848,Jean Mujer Levi's 314 Shaping Straight CELESTE 27,Moda,Mujer,Jeans Mujer,3611,LEVIS,https://www.oechsle.pe/jean-mujer-shaping-straight-celeste-levis-2856845/p,https://oechsle.vteximg.com.br/arquivos/ids/20900292/2856848.jpg?v=638793423581070000,2,229.00,229.00,2856845,2856848,11,27,Celeste Cielo,Mujer
2856854,2856858,Jean Mujer Levi's 501 Fw AZUL 27,Moda,Mujer,Jeans Mujer,3611,LEVIS,https://www.oechsle.pe/jean-mujer-for-women-azul-levis-2856854/p,https://oechsle.vteximg.com.br/arquivos/ids/20900358/2856858.jpg?v=638793423945470000,1,319.00,319.00,2856854,2856858,11,27,Azul Oscuro,Mujer
2856920,2856924,Jean Mujer Levi's 501 Fw AZUL CLARO 27,Moda,Mujer,Jeans Mujer,3611,LEVIS,https://www.oechsle.pe/jean-mujer-for-women-azul-claro-levis-2856920/p,https://oechsle.vteximg.com.br/arquivos/ids/20900482/2856924.jpg?v=638793426878000000,2,319.00,319.00,2856920,2856924,11,27,Azul Claro,Mujer
